규모,전국 Total,,,,서울 Seoul,,,,강북(14개구) Northern seoul,,,,강남(11개구) Southern Seoul,,,,6개광역시 6 Large Cities,,,,부산   Pusan,,,,대구  Daegu,,,,인천  Incheon,,,,광주  Gwangju,,,,대전  Daejeon,,,,울산  Ulsan,,,,5개광역시 5 Large Cities,,,,수도권 Seoul Metropolitan Area,,,,세종  Sejong,,,,경기  Gyeonggi,,,,강원  Gangwon,,,,충북  Chungbuk,,,,충남  Chungnam,,,,전북  Jeonbuk,,,,전남  Jeonnam,,,,경북  Gyungbuk,,,,경남  Gyungnam,,,,기타지방 Non Metropolitan Area,,,
,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립
10,"27,525","28,623","31,372","16,143","46,754","51,865","66,382","23,984","38,434","40,130","57,112","21,738","54,937","61,711","81,010","26,330","20,477","22,411","21,615","9,959","20,647","23,462",,,"24,268","26,276",,,"18,851","21,819",,,"16,835","18,162",,,"19,340","19,985",,,"22,687","22,349",,,"20,958","22,571","20,656","10,761","34,894","36,196","53,432","18,041","19,122","19,670",,,"28,926","29,263","43,430","14,111","14,532","13,504",,,"15,791","16,533",,,"16,187","17,179",,,"13,199","13,963",,,"11,130","10,749",,,"14,819","17,119",,,"20,951","20,172",,,"16,016","16,592","15,698","8,499"
11,"27,687","28,820","31,497","16,184","47,071","52,282","66,774","24,037","38,694","40,374","57,687","21,802","55,309","62,274","81,114","26,373","20,619","22,596","21,695","9,985","20,852","23,758",,,"24,349","26,348",,,"18,979","22,005",,,"16,998","18,352",,,"19,358","19,999",,,"22,950","22,705",,,"21,104","22,755","20,732","10,802","35,098","36,445","53,663","18,080","19,253","19,928",,,"29,050","29,414","43,494","14,144","14,450","13,579",,,"15,793","16,521",,,"16,214","17,207",,,"13,265","13,987",,,"11,171","10,846",,,"14,914","17,260",,,"21,029","20,248",,,"16,086","16,673","15,747","8,568"
12,"27,773","28,919","31,578","16,210","47,205","52,475","66,874","24,066","38,777","40,514","57,696","21,828","55,494","62,512","81,356","26,403","20,697","22,675","21,815","9,995","20,998","23,921",,,"24,412","26,394",,,"19,017","22,062",,,"17,061","18,393",,,"19,363","20,003",,,"23,071","22,846",,,"21,193","22,840","20,850","10,850","35,198","36,579","53,729","18,091","19,255","19,931",,,"29,139","29,529","43,501","14,155","14,489","13,622",,,"15,783","16,489",,,"16,204","17,194",,,"13,355","13,997",,,"11,194","10,874",,,"14,890","17,222",,,"21,003","20,292",,,"16,130","16,697","15,814","8,684"
'16.1,"29,435","30,443","33,210","17,074","49,447","55,282","68,478","25,134","40,539","42,566","59,758","22,682","58,260","66,109","82,239","27,695","22,802","24,942","23,822","10,765","22,703","25,259",,,"26,391","28,550",,,"21,274","24,899",,,"20,262","21,752",,,"21,104","21,946",,,"25,224","25,363",,,"23,255","24,954","22,989","11,703","36,895","38,460","54,937","19,036","22,939","25,050",,,"30,591","31,104","44,283","15,062","15,878","15,303",,,"17,014","17,309",,,"18,290","18,809",,,"16,040","16,964",,,"13,636","13,801",,,"16,524","17,995",,,"22,817","21,702",,,"18,120","18,547","17,989","8,869"
2,"29,472","30,477","33,279","17,092","49,513","55,342","68,623","25,164","40,620","42,656","59,901","22,699","58,311","66,143","82,387","27,739","22,845","24,975","23,927","10,779","22,777","25,336",,,"26,374","28,505",,,"21,317","24,919",,,"20,328","21,815",,,"21,118","21,964",,,"25,317","25,447",,,"23,298","24,990","23,075","11,706","36,931","38,493","55,024","19,056","22,992","25,129",,,"30,599","31,122","44,261","15,063","15,936","15,386",,,"17,010","17,296",,,"18,292","18,813",,,"16,063","16,985",,,"13,658","13,826",,,"16,482","17,937",,,"22,875","21,753",,,"18,153","18,581","18,024","8,892"
3,"29,513","30,513","33,374","17,085","49,572","55,435","68,757","25,105","40,721","42,768","60,000","22,781","58,328","66,219","82,573","27,534","22,887","24,996","24,061","10,797","22,865","25,423",,,"26,324","28,405",,,"21,355","24,951",,,"20,342","21,817",,,"21,141","21,982",,,"25,489","25,551",,,"23,341","25,009","23,207","11,726","36,975","38,543","55,139","19,039","23,055","25,223",,,"30,632","31,151","44,346","15,089","16,099","15,589",,,"17,005","17,284",,,"18,268","18,813",,,"16,067","16,989",,,"13,691","13,871",,,"16,462","17,914",,,"22,916","21,759",,,"18,186","18,604","18,067","8,935"
4,"29,566","30,560","33,465","17,110","49,689","55,592","68,955","25,085","40,841","42,869","60,238","22,853","58,443","66,425","82,709","27,417","22,939","25,028","24,187","10,859","22,976","25,532",,,"26,312","28,360",,,"21,426","24,977",,,"20,340","21,800",,,"21,143","21,984",,,"25,599","25,660",,,"23,388","25,042","23,307","11,759","37,044","38,615","55,268","19,053","23,128","25,333",,,"30,658","31,180","44,346","15,112","16,172","15,690",,,"16,995","17,252",,,"18,263","18,808",,,"16,053","16,991",,,"13,721","13,902",,,"16,426","17,865",,,"22,929","21,759",,,"18,207","18,612","18,111","9,041"
5,"29,641","30,640","33,548","17,139","49,904","55,896","69,137","25,121","40,992","43,061","60,403","22,911","58,720","66,824","82,917","27,431","22,973","25,050","24,288","10,876","23,121","25,671",,,"26,225","28,240",,,"21,458","25,005",,,"20,371","21,824",,,"21,146","21,990",,,"25,600","25,660",,,"23,422","25,063","23,409","11,772","37,161","38,755","55,392","19,089","23,221","25,471",,,"30,715","31,243","44,407","15,155","16,306","15,841",,,"16,978","17,208",,,"18,273","18,811",,,"16,066","17,002",,,"13,753","13,932",,,"16,380","17,818",,,"22,932","21,748",,,"18,221","18,620","18,133","9,038"
6,"29,739","30,739","33,662","17,186","50,198","56,292","69,423","25,193","41,137","43,228","60,660","22,934","59,161","67,415","83,251","27,554","23,020","25,089","24,397","10,881","23,203","25,767",,,"26,185","28,150",,,"21,521","25,088",,,"20,457","21,902",,,"21,237","22,038",,,"25,570","25,628",,,"23,465","25,089","23,520","11,782","37,322","38,936","55,599","19,136","23,220","25,469",,,"30,790","31,313","44,541","15,191","16,362","15,906",,,"16,940","17,151",,,"18,279","18,801",,,"16,079","17,017",,,"13,758","13,939",,,"16,311","17,724",,,"22,937","21,748",,,"18,229","18,615","18,150","9,151"
7,"29,882","30,879","33,835","17,268","50,611","56,829","69,836","25,336","41,402","43,520","61,059","23,047","59,722","68,160","83,685","27,729","23,093","25,156","24,525","10,909","23,403","25,977",,,"26,123","28,044",,,"21,609","25,185",,,"20,531","21,992",,,"21,244","22,047",,,"25,583","25,628",,,"23,533","25,148","23,640","11,805","37,550","39,180","55,902","19,239","23,244","25,505",,,"30,898","31,407","44,738","15,270","16,489","16,046",,,"16,927","17,125",,,"18,184","18,680",,,"16,102","17,024",,,"13,828","14,012",,,"16,257","17,645",,,"22,948","21,730",,,"18,249","18,610","18,225","9,149"
8,"30,030","31,035","33,973","17,345","51,019","57,388","70,147","25,465","41,674","43,852","61,368","23,172","60,263","68,913","84,000","27,861","23,184","25,252","24,619","10,966","23,624","26,261",,,"26,050","27,935",,,"21,722","25,300",,,"20,626","22,071",,,"21,299","22,101",,,"25,604","25,664",,,"23,617","25,239","23,711","11,861","37,781","39,441","56,161","19,326","23,265","25,536",,,"31,010","31,515","44,933","15,313","16,672","16,268",,,"16,961","17,069",,,"18,135","18,594",,,"16,115","17,026",,,"13,904","14,089",,,"16,125","17,466",,,"22,963","21,716",,,"18,265","18,603","18,287","9,168"
9,"30,191","31,192","34,189","17,415","51,416","57,939","70,444","25,584","41,924","44,143","61,689","23,292","60,806","69,685","84,261","27,979","23,289","25,331","24,866","11,017","23,934","26,526",,,"26,019","27,880",,,"21,840","25,395",,,"20,634","22,075",,,"21,308","22,111",,,"25,597","25,667",,,"23,719","25,313","23,936","11,894","38,004","39,697","56,391","19,409","23,355","25,670",,,"31,112","31,625","45,037","15,351","16,835","16,392",,,"17,007","17,052",,,"18,141","18,596",,,"16,154","17,058",,,"13,934","14,128",,,"16,124","17,448",,,"22,971","21,717",,,"18,339","18,626","18,480","9,185"
10,"30,446","31,468","34,439","17,509","52,085","58,814","71,199","25,748","42,463","44,675","62,680","23,519","61,603","70,851","84,641","28,077","23,486","25,557","25,048","11,081","24,478","27,183",,,"26,009","27,836",,,"22,012","25,645",,,"20,705","22,136",,,"21,351","22,165",,,"25,597","25,670",,,"23,923","25,533","24,135","11,991","38,368","40,116","56,831","19,508","23,384","25,725",,,"31,267","31,797","45,186","15,395","16,965","16,537",,,"17,044","17,028",,,"18,148","18,604",,,"16,189","17,092",,,"13,988","14,201",,,"16,129","17,422",,,"22,987","21,722",,,"18,386","18,653","18,565","9,227"
11,"30,667","31,720","34,615","17,584","52,592","59,511","71,640","25,874","42,873","45,155","63,271","23,659","62,206","71,732","84,845","28,190","23,669","25,773","25,233","11,109","24,944","27,810",,,"26,016","27,820",,,"22,134","25,807",,,"20,894","22,258",,,"21,401","22,225",,,"25,606","25,692",,,"24,124","25,764","24,333","12,005","38,663","40,471","57,080","19,598","23,538","25,954",,,"31,429","31,983","45,244","15,454","17,149","16,767",,,"16,991","16,956",,,"18,125","18,584",,,"16,284","17,184",,,"14,106","14,346",,,"16,061","17,329",,,"23,032","21,748",,,"18,448","18,701","18,644","9,290"
12,"30,748","31,801","34,725","17,626","52,730","59,670","71,831","25,934","42,985","45,292","63,441","23,679","62,371","71,912","85,069","28,290","23,753","25,869","25,333","11,140","25,160","28,124",,,"26,055","27,794",,,"22,178","25,854",,,"20,938","22,311",,,"21,423","22,254",,,"25,618","25,704",,,"24,220","25,873","24,431","12,056","38,755","40,565","57,232","19,639","23,595","26,039",,,"31,495","32,047","45,355","15,487","17,214","16,841",,,"16,968","16,928",,,"18,102","18,543",,,"16,317","17,213",,,"14,177","14,438",,,"16,141","17,329",,,"23,066","21,753",,,"18,486","18,720","18,720","9,314"
'17.1,"30,811","31,849","34,838","17,667","52,823","59,769","71,939","26,002","43,045","45,361","63,543","23,694","62,495","72,036","85,189","28,414","23,824","25,938","25,458","11,154","25,398","28,406",,,"26,054","27,745",,,"22,175","25,838",,,"20,983","22,336",,,"21,444","22,282",,,"25,633","25,743",,,"24,313","25,965","24,562","12,078","38,824","40,615","57,429","19,689","23,645","26,113",,,"31,565","32,081","45,686","15,534","17,255","16,890",,,"16,958","16,921",,,"18,083","18,514",,,"16,326","17,227",,,"14,287","14,588",,,"16,140","17,301",,,"23,059","21,701",,,"18,498","18,721","18,729","9,311"
2,"30,864","31,888","34,962","17,681","52,906","59,861","72,126","26,007","43,126","45,441","63,718","23,705","62,582","72,137","85,392","28,412","23,870","25,989","25,506","11,169","25,508","28,538",,,"26,045","27,720",,,"22,199","25,869",,,"21,050","22,418",,,"21,477","22,328",,,"25,639","25,734",,,"24,365","26,021","24,612","12,102","38,887","40,665","57,632","19,702","23,645","26,113",,,"31,620","32,110","45,950","15,561","17,279","16,928",,,"16,942","16,898",,,"18,120","18,486",,,"16,347","17,251",,,"14,331","14,642",,,"16,184","17,270",,,"23,085","21,682",,,"18,527","18,720","18,825","9,323"
3,"30,940","31,949","35,102","17,728","53,054","60,017","72,398","26,061","43,234","45,539","63,942","23,752","62,769","72,343","85,741","28,475","23,953","26,052","25,693","11,213","25,674","28,688",,,"26,060","27,687",,,"22,250","25,899",,,"21,134","22,526",,,"21,514","22,369",,,"25,759","25,794",,,"24,458","26,093","24,779","12,183","38,979","40,747","57,834","19,745","23,759","26,276",,,"31,675","32,157","46,031","15,610","17,324","16,980",,,"16,927","16,877",,,"18,110","18,468",,,"16,375","17,276",,,"14,371","14,698",,,"16,269","17,260",,,"23,072","21,649",,,"18,548","18,722","18,879","9,336"
4,"31,015","32,008","35,242","17,773","53,248","60,215","72,769","26,139","43,349","45,650","64,079","23,860","63,040","72,616","86,480","28,522","24,016","26,107","25,822","11,230","25,803","28,832",,,"26,104","27,663",,,"22,300","25,957",,,"21,160","22,545",,,"21,536","22,400",,,"25,795","25,841",,,"24,524","26,147","24,902","12,220","39,078","40,838","58,029","19,796","23,798","26,334",,,"31,706","32,189","46,021","15,652","17,445","17,051",,,"16,908","16,847",,,"18,077","18,424",,,"16,409","17,293",,,"14,412","14,743",,,"16,353","17,240",,,"23,064","21,618",,,"18,571","18,715","18,970","9,342"
5,"31,126","32,125","35,351","17,819","53,587","60,708","72,983","26,214","43,520","45,864","64,301","23,910","63,546","73,347","86,683","28,621","24,077","26,160","25,944","11,249","25,952","28,981",,,"26,121","27,654",,,"22,355","26,014",,,"21,190","22,570",,,"21,537","22,404",,,"25,813","25,867",,,"24,587","26,200","25,024","12,231","39,251","41,043","58,179","19,851","23,845","26,404",,,"31,770","32,249","46,100","15,692","17,621","17,096",,,"16,888","16,819",,,"18,076","18,396",,,"16,436","17,320",,,"14,497","14,811",,,"16,332","17,205",,,"23,022","21,562",,,"18,584","18,704","19,025","9,377"
6,"31,331","32,360","35,500","17,885","54,314","61,755","73,538","26,339","43,897","46,403","64,657","23,978","64,620","74,827","87,551","28,805","24,139","26,221","26,023","11,296","26,135","29,161",,,"26,075","27,650",,,"22,399","26,057",,,"21,233","22,614",,,"21,552","22,425",,,"25,876","25,849",,,"24,655","26,266","25,095","12,306","39,604","41,472","58,510","19,922","24,087","26,764",,,"31,888","32,380","46,203","15,716","17,630","17,114",,,"16,863","16,776",,,"18,072","18,388",,,"16,453","17,329",,,"14,575","14,874",,,"16,308","17,185",,,"22,955","21,484",,,"18,581","18,690","19,040","9,372"
7,"31,501","32,545","35,645","17,958","54,831","62,448","74,095","26,445","44,262","46,919","64,976","24,076","65,287","75,668","88,482","28,920","24,219","26,307","26,118","11,326","26,277","29,295",,,"26,165","27,752",,,"22,484","26,180",,,"21,256","22,640",,,"21,584","22,465",,,"25,870","25,825",,,"24,734","26,342","25,197","12,355","39,884","41,800","58,794","20,006","24,462","27,320",,,"32,020","32,527","46,214","15,806","17,652","17,141",,,"16,856","16,766",,,"18,067","18,375",,,"16,475","17,334",,,"14,675","14,980",,,"16,281","17,158",,,"22,857","21,373",,,"18,584","18,678","19,071","9,382"
8,"31,725","32,838","35,701","18,004","55,566","63,627","74,310","26,509","44,711","47,681","65,122","24,124","66,303","77,203","88,809","29,002","24,316","26,431","26,154","11,366","26,388","29,436",,,"26,349","27,988",,,"22,596","26,336",,,"21,331","22,737",,,"21,616","22,509",,,"25,805","25,728",,,"24,826","26,457","25,235","12,395","40,267","42,322","58,914","20,053","25,029","28,161",,,"32,177","32,725","46,242","15,833","17,686","17,178",,,"16,787","16,667",,,"18,018","18,322",,,"16,492","17,345",,,"14,723","15,031",,,"16,249","17,077",,,"22,761","21,278",,,"18,570","18,651","19,071","9,431"
9,"31,813","32,936","35,778","18,028","55,793","63,924","74,586","26,555","44,902","47,963","65,281","24,155","66,568","77,512","89,269","29,063","24,376","26,500","26,214","11,380","26,429","29,467",,,"26,497","28,166",,,"22,654","26,417",,,"21,393","22,812",,,"21,644","22,540",,,"25,778","25,679",,,"24,887","26,522","25,298","12,413","40,412","42,499","59,061","20,081","25,135","28,319",,,"32,277","32,849","46,257","15,845","17,732","17,252",,,"16,743","16,596",,,"17,967","18,244",,,"16,509","17,340",,,"14,796","15,102",,,"16,207","17,021",,,"22,652","21,154",,,"18,547","18,609","19,085","9,425"
10,"31,924","33,065","35,847","18,074","56,155","64,468","74,739","26,639","45,130","48,327","65,430","24,170","67,062","78,211","89,429","29,219","24,425","26,548","26,272","11,416","26,465","29,484",,,"26,623","28,315",,,"22,684","26,449",,,"21,460","22,879",,,"21,696","22,592",,,"25,712","25,604",,,"24,941","26,575","25,357","12,464","40,602","42,739","59,179","20,131","25,219","28,443",,,"32,363","32,945","46,350","15,861","17,745","17,284",,,"16,704","16,540",,,"17,914","18,196",,,"16,537","17,354",,,"14,887","15,154",,,"16,151","16,926",,,"22,563","21,084",,,"18,530","18,576","19,110","9,429"
11,"32,065","33,237","35,911","18,113","56,622","65,193","74,890","26,726","45,388","48,736","65,550","24,226","67,736","79,204","89,627","29,339","24,492","26,624","26,342","11,432","26,497","29,496",,,"26,776","28,487",,,"22,716","26,498",,,"21,615","23,075",,,"21,742","22,632",,,"25,697","25,583",,,"25,018","26,658","25,434","12,492","40,837","43,049","59,277","20,175","25,248","28,487",,,"32,456","33,058","46,404","15,865","17,775","17,322",,,"16,660","16,476",,,"17,882","18,145",,,"16,570","17,396",,,"15,007","15,292",,,"16,166","16,906",,,"22,409","20,913",,,"18,510","18,535","19,126","9,438"
12,"32,232","33,441","35,994","18,151","57,246","66,147","75,185","26,819","45,665","49,090","65,922","24,282","68,702","80,669","89,802","29,469","24,539","26,669","26,413","11,456","26,524","29,499",,,"26,851","28,564",,,"22,748","26,522",,,"21,764","23,262",,,"21,777","22,680",,,"25,658","25,514",,,"25,070","26,709","25,495","12,526","41,136","43,434","59,466","20,220","25,251","28,491",,,"32,552","33,171","46,473","15,860","17,788","17,350",,,"16,621","16,410",,,"17,858","18,117",,,"16,591","17,414",,,"15,081","15,394",,,"16,157","16,883",,,"22,280","20,773",,,"18,484","18,498","19,113","9,420"
'18.1,"32,493","33,779","36,045","18,209","58,160","67,613","75,407","26,930","46,092","49,756","66,196","24,346","70,098","82,816","89,942","29,630","24,595","26,734","26,470","11,465","26,527","29,477",,,"27,005","28,756",,,"22,791","26,561",,,"21,878","23,403",,,"21,821","22,741",,,"25,636","25,501",,,"25,130","26,780","25,536","12,541","41,604","44,067","59,577","20,297","25,390","28,697",,,"32,757","33,421","46,434","15,924","17,790","17,377",,,"16,624","16,410",,,"17,816","18,054",,,"16,599","17,422",,,"15,161","15,505",,,"16,121","16,823",,,"22,195","20,652",,,"18,463","18,465","19,105","9,388"
2,"32,726","34,073","36,140","18,257","58,981","68,933","75,618","27,015","46,463","50,359","66,369","24,399","71,364","84,747","90,213","29,749","24,644","26,770","26,571","11,512","26,526","29,473",,,"27,122","28,867",,,"22,812","26,572",,,"22,060","23,498",,,"21,850","22,779",,,"25,607","25,470",,,"25,187","26,824","25,635","12,615","42,014","44,618","59,724","20,347","25,438","28,768",,,"32,925","33,617","46,508","15,942","17,795","17,383",,,"16,623","16,379",,,"17,803","18,047",,,"16,625","17,434",,,"15,206","15,563",,,"16,154","16,802",,,"22,141","20,602",,,"18,464","18,453","19,142","9,366"
