규모,전국 Total,,,,서울 Seoul,,,,강북(14개구) Northern seoul,,,,강남(11개구) Southern Seoul,,,,6개광역시 6 Large Cities,,,,부산   Pusan,,,,대구  Daegu,,,,인천  Incheon,,,,광주  Gwangju,,,,대전  Daejeon,,,,울산  Ulsan,,,,5개광역시 5 Large Cities,,,,수도권 Seoul Metropolitan Area,,,,세종  Sejong,,,,경기  Gyeonggi,,,,강원  Gangwon,,,,충북  Chungbuk,,,,충남  Chungnam,,,,전북  Jeonbuk,,,,전남  Jeonnam,,,,경북  Gyungbuk,,,,경남  Gyungnam,,,,기타지방 Non Metropolitan Area,,,
,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,단독,연립,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,,,종합,아파트,단독,연립
8,"24,432","25,077","27,714","14,849","46,919","52,996","59,101","23,732","38,077","40,351","51,092","21,049","55,862","63,550","72,147","26,576","14,600","15,169","17,084","7,939", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,936","36,656","48,459","17,609", - , - ,,,"27,881","28,072","40,168","13,133", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,193","10,805","12,484","5,558"
9,"24,414","25,050","27,722","14,834","46,836","52,851","59,125","23,700","38,023","40,242","51,149","20,996","55,749","63,376","72,117","26,566","14,627","15,211","17,091","7,938", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,865","36,548","48,469","17,582", - , - ,,,"27,815","27,982","40,166","13,116", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,230","10,861","12,487","5,573"
10,"24,417","25,051","27,730","14,836","46,766","52,752","59,067","23,684","37,973","40,159","51,133","20,976","55,660","63,264","71,990","26,555","14,684","15,283","17,130","7,959", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,817","36,477","48,453","17,572", - , - ,,,"27,778","27,921","40,200","13,113", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,271","10,923","12,491","5,601"
11,"24,448","25,082","27,780","14,838","46,716","52,655","59,100","23,671","37,931","40,084","51,142","20,949","55,601","63,148","72,061","26,555","14,758","15,386","17,156","7,983", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,794","36,416","48,549","17,560", - , - ,,,"27,783","27,885","40,392","13,101", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,355","11,046","12,504","5,639"
12,"24,496","25,152","27,797","14,846","46,746","52,697","59,144","23,666","37,936","40,079","51,183","20,939","55,657","63,229","72,111","26,556","14,830","15,495","17,166","7,998", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,810","36,436","48,572","17,560", - , - ,,,"27,793","27,896","40,395","13,109", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,426","11,154","12,518","5,671"
'11.1,"24,570","25,245","27,851","14,868","46,829","52,775","59,304","23,697","37,954","40,096","51,208","20,949","55,807","63,358","72,490","26,611","14,916","15,617","17,197","8,019", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,864","36,492","48,661","17,579", - , - ,,,"27,837","27,951","40,417","13,119", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,505","11,262","12,546","5,697"
2,"24,686","25,403","27,903","14,904","46,937","52,920","59,406","23,727","38,004","40,161","51,276","20,955","55,972","63,571","72,648","26,664","15,056","15,812","17,248","8,064", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"34,955","36,606","48,739","17,609", - , - ,,,"27,930","28,066","40,462","13,154", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,619","11,432","12,569","5,738"
3,"24,847","25,568","28,128","14,950","47,019","52,963","59,642","23,769","38,087","40,198","51,491","21,000","56,053","63,619","72,919","26,705","15,229","16,053","17,322","8,111", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,076","36,668","49,179","17,646", - , - ,,,"28,120","28,156","41,235","13,194", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"11,817","11,688","12,670","5,808"
4,"25,047","25,759","28,426","15,039","47,189","52,944","60,492","23,811","38,327","40,202","52,373","21,079","56,153","63,581","73,715","26,705","15,467","16,375","17,426","8,201", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,185","36,673","49,724","17,703", - , - ,,,"28,188","28,180","41,469","13,293", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"12,133","12,074","12,850","6,071"
5,"25,146","25,858","28,574","15,071","47,281","52,878","61,060","23,867","38,451","40,190","52,882","21,093","56,212","63,469","74,382","26,806","15,622","16,591","17,502","8,220", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - , - , - ,"35,217","36,634","50,024","17,728", - , - ,,,"28,177","28,166","41,463","13,298", - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,, - , - ,,,"12,276","12,286","12,883","6,122"
6,"25,843","26,651","28,749","15,088","48,766","54,559","61,349","23,874","39,194","41,272","53,082","21,108","58,211","65,472","74,814","26,806","16,341","17,496","17,589","8,255","16,973","19,473",,,"14,994","15,354",,,"18,785","21,091",,,"11,484","11,696",,,"17,720","18,480",,,"16,121","15,683",,, - , - , - , - ,"35,996","37,471","50,184","17,732", - , - ,,,"28,622","28,723","41,510","13,307","12,353","10,508",,,"12,189","12,441",,,"12,529","12,692",,,"11,494","12,716",,,"10,467","9,973",,,"10,183","10,628",,,"18,035","17,568",,,"12,950","13,204","13,142","6,149"
7,"25,891","26,702","28,829","15,091","48,734","54,444","61,554","23,863","39,237","41,225","53,396","21,089","58,106","65,301","74,841","26,805","16,457","17,654","17,636","8,269","17,154","19,723",,,"15,085","15,480",,,"18,732","21,008",,,"11,631","11,871",,,"18,001","18,872",,,"16,243","15,841",,, - , - , - , - ,"35,968","37,402","50,312","17,725", - , - ,,,"28,606","28,691","41,568","13,305","12,524","10,721",,,"12,441","12,689",,,"12,615","12,790",,,"11,616","12,888",,,"10,490","10,006",,,"10,216","10,684",,,"18,132","17,714",,,"13,053","13,341","13,191","6,185"
8,"25,959","26,771","28,910","15,160","48,772","54,373","61,803","24,013","39,302","41,162","53,643","21,263","58,118","65,223","75,095","26,927","16,571","17,810","17,687","8,268","17,309","19,944",,,"15,202","15,643",,,"18,683","20,958",,,"11,784","12,070",,,"18,278","19,180",,,"16,347","15,979",,, - , - , - , - ,"35,975","37,359","50,445","17,801", - , - ,,,"28,598","28,672","41,586","13,349","12,771","11,136",,,"12,586","12,888",,,"12,704","12,907",,,"11,754","13,083",,,"10,555","10,075",,,"10,256","10,745",,,"18,256","17,896",,,"13,165","13,511","13,227","6,236"
9,"26,026","26,842","29,002","15,184","48,760","54,285","62,004","24,020","39,275","41,117","53,660","21,235","58,119","65,100","75,594","26,972","16,695","17,963","17,772","8,311","17,492","20,160",,,"15,335","15,822",,,"18,630","20,890",,,"11,989","12,324",,,"18,484","19,400",,,"16,474","16,131",,, - , - , - , - ,"35,962","37,317","50,558","17,804", - , - ,,,"28,597","28,670","41,614","13,367","12,930","11,321",,,"12,786","13,155",,,"12,794","13,032",,,"11,934","13,323",,,"10,624","10,157",,,"10,319","10,840",,,"18,443","18,104",,,"13,301","13,689","13,288","6,283"
10,"26,066","26,886","29,054","15,199","48,714","54,186","62,057","24,032","39,266","41,088","53,701","21,220","58,038","64,943","75,667","27,012","16,779","18,062","17,852","8,326","17,614","20,299",,,"15,439","15,956",,,"18,598","20,820",,,"12,106","12,470",,,"18,593","19,543",,,"16,605","16,290",,, - , - , - , - ,"35,939","37,274","50,601","17,807", - , - ,,,"28,598","28,674","41,610","13,381","13,052","11,441",,,"12,915","13,332",,,"12,889","13,182",,,"12,047","13,465",,,"10,677","10,244",,,"10,381","10,933",,,"18,587","18,260",,,"13,405","13,825","13,338","6,309"
11,"26,101","26,923","29,119","15,205","48,660","54,031","62,259","24,030","39,304","41,039","54,006","21,196","57,893","64,702","75,703","27,033","16,881","18,202","17,884","8,344","17,803","20,569",,,"15,589","16,158",,,"18,544","20,745",,,"12,174","12,552",,,"18,602","19,557",,,"16,858","16,630",,, - , - , - , - ,"35,897","37,187","50,719","17,801", - , - ,,,"28,570","28,634","41,651","13,380","13,176","11,579",,,"13,016","13,452",,,"12,992","13,362",,,"12,167","13,632",,,"10,794","10,433",,,"10,459","11,055",,,"18,658","18,375",,,"13,503","13,970","13,362","6,333"
12,"26,092","26,909","29,131","15,200","48,576","53,900","62,245","24,009","39,253","40,994","53,921","21,166","57,776","64,499","75,804","27,023","16,912","18,241","17,901","8,356","17,853","20,626",,,"15,662","16,246",,,"18,508","20,704",,,"12,212","12,611",,,"18,566","19,502",,,"16,978","16,790",,, - , - , - , - ,"35,833","37,101","50,713","17,781", - , - ,,,"28,520","28,570","41,661","13,363","13,234","11,629",,,"13,088","13,553",,,"13,035","13,430",,,"12,240","13,713",,,"10,918","10,601",,,"10,518","11,139",,,"18,668","18,387",,,"13,560","14,043","13,387","6,370"
'12.1,"26,093","26,894","29,186","15,203","48,510","53,767","62,331","23,992","39,268","40,952","54,132","21,117","57,630","64,291","75,685","27,040","16,948","18,286","17,919","8,376","17,916","20,702",,,"15,736","16,335",,,"18,449","20,629",,,"12,303","12,729",,,"18,527","19,437",,,"17,090","16,940",,, - , - , - , - ,"35,771","37,005","50,745","17,767", - , - ,,,"28,459","28,497","41,643","13,362","13,276","11,678",,,"13,154","13,630",,,"13,085","13,518",,,"12,478","13,817",,,"10,962","10,648",,,"10,581","11,235",,,"18,687","18,383",,,"13,644","14,111","13,498","6,411"
