규모,전국 Total,,,,서울 Seoul,,,,강북(14개구) Northern seoul,,,,강남(11개구) Southern Seoul,,,,6개광역시 6 Large Cities,,,,부산   Pusan,,대구  Daegu,,인천  Incheon,,광주  Gwangju,,대전  Daejeon,,울산  Ulsan,,5개광역시 5 Large Cities,,,,수도권 Seoul Metropolitan Area,,,,세종  Sejong,,경기  Gyeonggi,,,,강원  Gangwon,,충북  Chungbuk,,충남  Chungnam,,전북  Jeonbuk,,전남  Jeonnam,,경북  Gyungbuk,,경남  Gyungnam,,기타지방 Non Metropolitan Area,,,
,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,단독,연립,종합,아파트,단독,연립,종합,아파트,종합,아파트,단독,연립,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,종합,아파트,단독,연립
4,"14,409","15,978","12,495","9,195","23,083","27,113","25,010","13,269","19,428","22,363","21,565","12,259","26,678","31,098","30,446","14,324","11,117","12,982","8,401","6,035","11,645","14,314","11,913","13,781","9,561","11,169","9,757","11,121","11,840","13,476","12,867","14,034","11,577","13,470","7,968","6,626","17,715","19,293","21,082","10,125","8,608","11,372","15,276","16,053","18,495","8,054","8,067","8,768","8,865","9,974","9,693","11,176","8,555","10,166","6,613","7,912","8,060","9,908","11,401","12,411","9,111","10,549","6,689","5,314"
5,"14,438","16,019","12,508","9,194","23,132","27,181","25,073","13,266","19,467","22,424","21,646","12,228","26,735","31,173","30,480","14,350","11,139","13,013","8,414","6,031","11,657","14,333","11,971","13,846","9,583","11,216","9,730","11,085","11,876","13,522","12,896","14,067","11,599","13,497","7,981","6,643","17,751","19,346","21,108","10,118","8,609","11,374","15,306","16,096","18,481","8,051","8,077","8,774","8,924","10,046","9,702","11,216","8,555","10,168","6,609","7,904","8,093","9,947","11,431","12,449","9,130","10,578","6,687","5,339"
6,"14,484","16,077","12,521","9,213","23,202","27,286","25,097","13,292","19,508","22,486","21,671","12,239","26,835","31,313","30,501","14,392","11,174","13,051","8,442","6,058","11,685","14,352","12,010","13,898","9,608","11,258","9,748","11,104","11,933","13,602","12,963","14,087","11,637","13,534","8,011","6,699","17,807","19,422","21,123","10,132","8,611","11,378","15,358","16,161","18,484","8,058","8,083","8,785","8,953","10,086","9,744","11,291","8,556","10,171","6,615","7,907","8,163","10,057","11,458","12,466","9,157","10,614","6,685","5,343"
7,"14,558","16,160","12,564","9,269","23,350","27,481","25,192","13,370","19,624","22,651","21,738","12,298","27,015","31,535","30,641","14,491","11,207","13,089","8,470","6,074","11,710","14,381","12,051","13,945","9,652","11,330","9,757","11,114","11,952","13,617","13,031","14,131","11,667","13,564","8,047","6,720","17,912","19,544","21,189","10,194","8,721","11,600","15,442","16,247","18,540","8,124","8,130","8,845","9,002","10,151","9,785","11,351","8,629","10,228","6,633","7,928","8,250","10,163","11,475","12,457","9,203","10,660","6,709","5,407"
8,"14,673","16,290","12,659","9,331","23,583","27,757","25,471","13,484","19,827","22,878","22,055","12,371","27,278","31,851","30,863","14,646","11,266","13,146","8,565","6,095","11,707","14,365","12,099","13,998","9,732","11,446","9,825","11,202","12,034","13,694","13,225","14,191","11,720","13,605","8,148","6,748","18,087","19,750","21,346","10,267","8,756","11,670","15,592","16,428","18,573","8,168","8,175","8,892","9,007","10,157","9,801","11,364","8,648","10,248","6,641","7,940","8,279","10,209","11,541","12,548","9,234","10,703","6,731","5,428"
9,"14,845","16,513","12,719","9,405","23,892","28,201","25,622","13,594","20,068","23,231","22,170","12,488","27,652","32,371","31,070","14,750","11,324","13,217","8,598","6,125","11,716","14,370","12,197","14,105","9,842","11,607","9,846","11,228","12,095","13,776","13,254","14,201","11,762","13,652","8,182","6,781","18,372","20,121","21,484","10,354","8,852","11,863","15,909","16,801","18,722","8,253","8,219","8,932","9,045","10,215","9,821","11,420","8,667","10,277","6,644","7,944","8,341","10,301","11,582","12,598","9,267","10,753","6,724","5,458"
10,"15,033","16,757","12,789","9,476","24,224","28,675","25,818","13,706","20,333","23,643","22,329","12,548","28,051","32,897","31,322","14,917","11,400","13,320","8,628","6,141","11,750","14,418","12,343","14,288","9,950","11,774","9,880","11,269","12,172","13,871","13,275","14,219","11,829","13,736","8,214","6,800","18,664","20,507","21,608","10,440","8,920","11,964","16,217","17,179","18,785","8,341","8,291","9,006","9,090","10,263","9,925","11,538","8,731","10,324","6,659","7,958","8,457","10,470","11,612","12,648","9,328","10,825","6,767","5,484"
11,"15,166","16,935","12,823","9,520","24,429","28,987","25,878","13,767","20,475","23,874","22,358","12,602","28,318","33,278","31,432","14,985","11,472","13,420","8,641","6,155","11,748","14,418","12,505","14,498","10,072","11,965","9,879","11,267","12,250","13,979","13,335","14,297","11,885","13,812","8,227","6,820","18,858","20,774","21,664","10,491","9,037","12,196","16,424","17,435","18,847","8,398","8,368","9,101","9,125","10,330","10,031","11,663","8,777","10,379","6,683","7,985","8,569","10,630","11,642","12,675","9,387","10,899","6,792","5,503"
12,"15,297","17,117","12,856","9,551","24,662","29,368","25,912","13,801","20,600","24,082","22,406","12,621","28,657","33,804","31,444","15,034","11,558","13,534","8,681","6,178","11,809","14,490","12,663","14,702","10,131","12,048","9,990","11,411","12,337","14,097","13,380","14,345","11,980","13,934","8,267","6,849","19,031","21,021","21,694","10,521","9,297","12,302","16,575","17,632","18,870","8,430","8,425","9,175","9,197","10,440","10,163","11,869","8,771","10,383","6,742","8,005","8,703","10,823","11,682","12,706","9,455","10,983","6,823","5,543"
'14.1,"15,425","17,276","12,928","9,599","24,867","29,675","25,966","13,878","20,746","24,310","22,435","12,693","28,919","34,176","31,536","15,116","11,601","13,586","8,699","6,210","11,828","14,512","12,736","14,792","10,192","12,125","10,025","11,456","12,376","14,144","13,404","14,359","12,018","13,980","8,287","6,873","19,222","21,266","21,812","10,577","9,444","12,597","16,793","17,876","19,092","8,464","8,460","9,226","9,297","10,572","10,283","12,063","8,780","10,395","6,742","8,005","8,892","10,918","11,712","12,751","9,523","11,058","6,886","5,570"
2,"15,547","17,431","12,979","9,651","25,109","30,025","26,066","13,974","20,931","24,593","22,484","12,790","29,218","34,583","31,719","15,211","11,664","13,670","8,718","6,230","11,861","14,557","12,824","14,910","10,309","12,304","10,077","11,523","12,410","14,177","13,406","14,342","12,065","14,039","8,306","6,897","19,406","21,503","21,928","10,638","9,477","12,663","16,943","18,052","19,248","8,497","8,508","9,283","9,385","10,683","10,363","12,199","8,803","10,430","6,745","7,995","8,948","11,003","11,763","12,784","9,572","11,120","6,892","5,585"
3,"15,671","17,596","13,017","9,704","25,303","30,300","26,120","14,079","21,103","24,860","22,537","12,865","29,434","34,864","31,773","15,347","11,751","13,789","8,742","6,252","11,895","14,605","12,943","15,064","10,488","12,570","10,131","11,588","12,425","14,200","13,485","14,444","12,124","14,117","8,326","6,913","19,586","21,747","21,970","10,707","9,200","12,104","17,111","18,271","19,273","8,534","8,548","9,341","9,433","10,759","10,454","12,318","8,819","10,455","6,748","7,991","9,061","11,179","11,840","12,845","9,626","11,186","6,941","5,562"
4,"15,782","17,738","13,066","9,749","25,454","30,515","26,188","14,141","21,262","25,097","22,603","12,941","29,577","35,062","31,845","15,395","11,868","13,934","8,812","6,305","11,957","14,663","13,172","15,352","10,662","12,809","10,226","11,710","12,418","14,182","13,584","14,571","12,225","14,238","8,397","6,952","19,722","21,926","22,020","10,754","9,119","11,942","17,223","18,412","19,299","8,551","8,570","9,371","9,481","10,825","10,583","12,427","8,837","10,477","6,752","7,991","9,114","11,256","11,948","12,977","9,685","11,258","6,970","5,591"
5,"15,825","17,791","13,091","9,778","25,501","30,557","26,264","14,183","21,301","25,157","22,671","12,920","29,632","35,088","31,933","15,503","11,916","13,995","8,833","6,330","11,990","14,704","13,309","15,525","10,689","12,847","10,265","11,759","12,412","14,168","13,626","14,618","12,279","14,304","8,419","6,988","19,768","21,980","22,065","10,785","8,974","11,652","17,273","18,478","19,315","8,573","8,578","9,374","9,535","10,891","10,606","12,460","8,839","10,482","6,752","7,986","9,143","11,301","11,985","13,045","9,706","11,291","6,976","5,596"
6,"15,889","17,869","13,149","9,801","25,559","30,635","26,324","14,195","21,387","25,266","22,779","12,946","29,662","35,140","31,919","15,500","12,012","14,117","8,878","6,372","12,060","14,768","13,471","15,736","10,768","12,962","10,487","12,047","12,415","14,171","13,649","14,633","12,380","14,428","8,465","7,051","19,820","22,049","22,128","10,797","8,745","11,191","17,311","18,530","19,389","8,586","8,646","9,457","9,589","10,962","10,657","12,535","8,853","10,503","6,768","8,004","9,245","11,376","12,075","13,109","9,758","11,343","7,036","5,638"
7,"15,937","17,920","13,203","9,831","25,634","30,715","26,464","14,221","21,445","25,349","22,832","12,957","29,754","35,217","32,196","15,542","12,052","14,152","8,946","6,393","12,101","14,795","13,541","15,805","10,823","13,040","10,461","12,008","12,413","14,167","13,728","14,682","12,415","14,451","8,540","7,077","19,878","22,111","22,204","10,830","8,621","10,943","17,356","18,577","19,401","8,634","8,668","9,479","9,758","11,145","10,716","12,608","8,859","10,512","6,775","8,007","9,280","11,430","12,087","13,166","9,795","11,396","7,050","5,655"
8,"15,994","17,985","13,247","9,869","25,753","30,852","26,608","14,285","21,533","25,469","22,873","13,019","29,903","35,370","32,503","15,608","12,096","14,201","8,983","6,425","12,120","14,817","13,601","15,860","10,902","13,138","10,537","12,091","12,403","14,154","13,754","14,713","12,449","14,487","8,577","7,092","19,956","22,201","22,285","10,874","8,404","10,509","17,395","18,633","19,416","8,649","8,685","9,493","9,847","11,254","10,768","12,684","8,852","10,503","6,769","7,992","9,364","11,556","12,097","13,178","9,824","11,432","7,059","5,676"
9,"16,111","18,135","13,296","9,916","25,939","31,115","26,713","14,356","21,695","25,691","22,969","13,116","30,113","35,667","32,622","15,652","12,204","14,346","9,021","6,453","12,194","14,927","13,793","16,100","11,012","13,291","10,717","12,321","12,390","14,135","13,844","14,831","12,556","14,630","8,610","7,121","20,106","22,394","22,370","10,928","8,328","10,484","17,526","18,790","19,476","8,690","8,675","9,499","9,885","11,306","10,843","12,799","8,850","10,496","6,778","8,007","9,430","11,630","12,158","13,247","9,864","11,482","7,080","5,703"
